id,scenario,decision
male_existence11,"I am fleeing my homeland after a famine devastated our crops and livestock. The hunger has driven my community to desperation, and people are fighting for meager resources. With nothing left to eat, my family has been scattered, and I fear that without help, I will perish alone. Please, let me cross your borders so that I can find food and a safe place to stay.",approve
male_existence12,"The conflict in my country has turned our once-peaceful city into a battlefield. I lost my home to a bombing, and now there is nothing left for me but the rubble and ruins. Every day I wander the streets, avoiding gunfire and trying to find shelter from the elements. Please, allow me entry into Arstotzka so I can escape this violence and finally find a safe place to sleep at night.",approve
male_existence13,"I am from a region where a tyrannical regime has caused widespread poverty and suffering. With food shortages and rampant disease, countless lives are at stake, including my own. The hospitals are overcrowded, and I have not been able to receive treatment for my illness. Please grant me entry so I can find the care I need and the chance to live.",approve
male_existence14,"Our community was struck by a devastating flood that washed away homes and livelihoods. I managed to escape, but my family members are still missing in the chaos. The government has collapsed, and lawlessness reigns, leaving me vulnerable and afraid for my life. Please let me enter your country, where I can find safety and perhaps even a way to reunite with my loved ones.",approve
male_existence15,"I have been living in a camp for refugees, but resources are dwindling, and disease is spreading rapidly among us. The conditions are dire, and every day is a battle to find enough food and clean water. I have lost hope of returning to my home, as it has become too dangerous since the outbreak of war. Please, I beg you to allow me to enter Arstotzka so I can find security and basic necessities that will help me survive.",approve
male_existence16,"I come from a village that has been ravaged by famine and unrest. The land has become barren and the people are losing hope as food supplies dwindle to nothing. Every day is a fight for survival, with parents unable to feed their children and the sick lying unassisted. Please, I ask to enter, for only in Arstotzka can I find refuge and food to save my life.",approve
male_existence17,"My home has suffered under the weight of violence and civil disorder following the war. With each passing day, the threats grow larger and the resources scarcer, forcing many to abandon their homes. I am afraid to leave my shelter, but I know if I do not escape, there will be nothing left for me or my family. I plead for entry into Arstotzka so I can find safety and rebuild my life.",approve
male_existence18,"After the border closed, our town faced an influx of displaced people, and resources quickly ran dry. The streets are filled with desperation, as sickness spreads without access to medical care or clean water. I find myself growing weaker each day, and I fear that without immediate help, I won_ last much longer. Please, allow me in, so that I may find nourishment and be free from this suffering.",approve
male_existence19,"With war abruptly tearing through my homeland, chaos has led to widespread devastation and loss of basic safety. Shelters have been leveled, leaving many of us exposed to the elements and violence. In my quest for survival, I have made the perilous journey to Arstotzka, carrying nothing but the hope of finding peace and basic necessities. I beseech you to let me enter so that I can escape this nightmare.",approve
male_existence20,"Since the war's end, the remnants of society in my country have crumbled, leaving nothing but ruins and despair. Access to food and secure living conditions have become a distant memory, and now, hunger gnaws at me constantly. I take the first step towards Arstotzka with no possessions, merely the hope of finding a warm meal and a safe place to sleep. Please grant me entry so that I may regain my health and future.",deny
male_existence21,"I come from a region where hunger has replaced hope. For months, the crops have failed, and with the ongoing violence, there are no markets to buy food. Every day is spent scavenging for scraps, and the weak and frail are the first to go. Please let me enter, for I fear that my strength is dwindling, and I do not want to succumb to starvation in a land that once held promise.",approve
male_existence22,"A devastating civil unrest has left my city in ruins, with rampant looting and violence making it impossible to feel safe. I fear for my life as gang leaders battle for control, and the police are nowhere to be found. My home has been stripped bare, and I am now without the security of shelter or safety. Please, let me in so that I can find peace and shelter in a world that has turned upside down.",approve
male_existence23,"The air around me is thick with despair after a mysterious illness swept through my town, claiming the lives of many. Hospitals are overflowing, and the few remaining doctors are too overwhelmed to provide adequate care. With my health deteriorating each day, I fear I will soon decline beyond help if I do not gain access to proper medical facilities. Please, grant me entry so that I can seek the treatment I desperately need.",approve
male_existence24,"My country has fallen into chaos as a brutal regime seeks to suppress any dissent. Basic necessities have become luxuries, and I find myself with nowhere to go as hopes of resistance fade. Each day I walk through devastation and despair, searching for safety and shelter. Please, allow me to cross into Arstotzka and escape this relentless nightmare.",approve
male_existence25,"After fleeing from violent oppression, I have made a long and treacherous journey in search of safety. My meager possessions have been lost along the way, and I now find myself without food, water, or shelter. The harsh environment threatens my survival as I struggle against exhaustion. I implore you, let me in so that I can find refuge and the chance to rebuild my life.",approve
male_existence26,"I fled from a region devastated by famine due to prolonged conflict. The once fertile land has withered, and my family now struggles to find one meal a day. With crops failing and no aid in sight, I have no choice but to seek refuge where food is available. Please let me in so that I may find sustenance and build a future once again.",approve
male_existence27,"My village was razed by soldiers seeking revenge after the war. Homes were destroyed, and survivors forced to navigate a lawless landscape filled with violence and desperation. Each day is a battle for safety, as armed groups roam freely and basic human rights are ignored. Please, I need to enter your country so that I can be free from this terror and find a place to feel safe.",approve
male_existence28,"In the wake of a violent political upheaval, our city has spiraled into chaos and danger. Basic services have collapsed; we now live in the shadow of violent confrontations daily, where fear is a constant companion. With no safe place to return to, I seek refuge in Arstotzka, where I hope to find shelter and protection from those who would do me harm. Please allow me to enter and escape this nightmare.",approve
male_existence29,"I am from a coastal town that was devastated by rising waters, a consequence of climate change and years of neglect. Our homes are now submerged, and many have perished as resources are exhausted in a desperate last effort for survival. I managed to escape but find myself wandering in search of safety and basic needs. Please let me in so that I may find a dry place to rest and rebuild my life.",approve
male_existence30,"The illness that has plagued my family brought us to our knees, as medical care became as scarce as food in our war-torn region. With hospitals overwhelmed and doctors fleeing, my health has deteriorated rapidly. I have heard stories of the quality of medical care available in Arstotzka, and I hold onto a flicker of hope for treatment that can save my life. Please allow me to enter so that I may seek the help I desperately need.",approve
male_existence31,"I come from a region where food supplies have dwindled to nothing due to ongoing conflict and blockades. Each day is a battle for survival, as we scavenge for scraps while constantly fearful of violent skirmishes. The hunger gnaws at my insides, making it difficult to think of anything else. Please, allow me entry into Arstotzka, where I can find food and safety, and perhaps even a chance to rebuild my life.",approve
male_existence32,"My village was once a vibrant place, but it has been devastated by war and now lies in ruins. The few remaining shelters are crumbling, and winter is approaching, threatening to leave us exposed to the harsh elements. Without proper shelter and warmth, I fear for my life and the lives of those still clinging to hope. Please, grant me passage so that I can find refuge from the cold and a chance to start anew.",approve
male_existence33,"I live in a war-torn area where the water supply has been contaminated, leading to widespread illness and suffering. Each day, I watch friends and neighbors fall ill while we are forced to drink from unsafe sources. I am terrified of succumbing to disease; I desperately want to escape this bleak existence. Please, let me into Arstotzka so that I can find clean water and regain my health.",approve
male_existence34,"After the outbreak of violence and chaos in my homeland, I became separated from any source of safety or support. The streets are no longer safe, and the threat of violence lurks around every corner. I have nowhere to turn for shelter or security, and I dread each passing moment. Please, allow me entry into Arstotzka to escape this nightmare and find a place where I can live without fear.",approve
male_existence35,"My world has been shattered by natural disasters that have left me homeless and vulnerable. The ground continues to shake, and with each tremor, I lose hope of ever returning to a place of safety. I am physically exhausted and emotionally drained as I wander, searching for food and shelter. Please let me enter Arstotzka, where I hope to find a sense of stability and a chance to heal.",deny
male_existence36,"I live in a small village where resources have dwindled after the war, leaving us with little food and barely any shelter. Every day is a fight for survival as food supplies are stolen and the ground has been stripped bare. In the cold nights, we endure the biting chill with nothing more than rags to keep us warm. Please, let me enter Arstotzka so I can find a place where I can eat and sleep without the threat of hunger or freezing to death.",approve
male_existence37,"After the war, my city has become a shadow of its former self, overrun by gangs and lawlessness. The fear of violence has taken over my days and nights, leaving me paralyzed with anxiety. I have lost my job and my ability to support myself, and safety is now just a dream. I humbly ask to be allowed into Arstotzka, where I hope to find a way to live without looking over my shoulder constantly.",deny
male_existence38,"Forced to flee my country due to famine, I have spent weeks wandering, searching for a haven from hunger. Each step feels heavier as my body weakens without food, and I struggle with the constant ache in my stomach. The threat of disease looms as a result of the unsanitary conditions I have faced while living on the streets. I plead to be let into Arstotzka so that I may find nourishment and a chance at survival.",approve
male_existence39,"My home has become a battleground, with artillery fire echoing throughout the neighborhood, forcing me to live in a makeshift shelter with no lights or safety. The terror of potential death hangs in the air, and I can no longer endure the sleepless nights filled with fear. I lost my job when the factory was bombed and now I struggle each day for enough food to stay alive. I am desperate to cross into Arstotzka, where I dream of finding peace and security.",deny
male_existence40,"With the recent closure of clinics in my region due to post-war chaos, I have fallen desperately ill with no access to treatment. The pain is unbearable and with each passing day, my health deteriorates, leaving me gasping for air. I fear that if I do not reach a safe place with medical assistance soon, I will face a long and painful death. Please, allow me passage into Arstotzka so I might find healing and regain my strength.",approve
male_existence41,"I come from a land plagued by famine and drought. My family has struggled for years to find enough food to survive, and each day grows more desperate. The crops have failed, and many of my neighbors are dying from starvation. Please, allow me entry into Arstotzka so that I can find food and a chance at a healthier life that has become unattainable in my homeland.",approve
male_existence42,"After fleeing my country due to escalating violence, I find myself without a safe place to sleep or enough food to sustain me. Each night, I hide in fear, but the worry of being caught and sent back haunts me relentlessly. I cannot return to the chaos and bloodshed, and the streets are no longer safe for someone like me. I seek refuge in Arstotzka, where I hope to find a secure place to rebuild my life.",deny
male_existence43,"I am an orphan wandering the remnants of my war-torn home, surrounded by the ruins of crumbled buildings and broken dreams. Without parents, I face the world alone, struggling to find something to eat and a safe place to rest. My heart aches from the cold and the hunger I endure day after day. Please, let me enter Arstotzka so that I can find safety, warmth, and a future.",approve
male_existence44,"A deadly outbreak of disease swept through my village, taking the lives of many, including those I hold dear. The healthcare system in my country collapsed during the crisis, and I_ currently suffering from symptoms that grow worse each day. If I remain in my homeland, I know death will soon follow. I seek urgent medical attention in Arstotzka, where I hope to find doctors who can save me.",approve
male_existence45,"The political turmoil in my country has led to severe unrest and economic collapse. I have lost my job and with it, my ability to pay for basic necessities. Every day is a fight for survival as I search for food and shelter amidst the chaos. I plead for entry into Arstotzka, where I hope to find stability and the means to live without fear.",deny
male_existence46,"I have been living in the shadows since the regime change in my country. The new government has targeted anyone associated with the former leadership, and I have been in hiding for months. Food has become increasingly difficult to find, and each day is a desperate struggle for survival. Please, let me enter Arstotzka where I can find safety and the means to survive.",approve
male_existence47,"The conflict in my homeland has left my family home in ruins, and the streets outside are controlled by gangs. There is no shelter left for me, and I have been forced to sleep in abandoned buildings. I live in constant fear of violence and starvation as the resources dwindle. Please, allow me to enter Arstotzka so that I may find refuge and rebuild my life.",approve
male_existence48,"My small village has been devastated by floods, destroying crops and livestock. The floodwaters have also contaminated our drinking supply, leaving us thirsty and vulnerable. Without assistance, my community faces famine and diseases. Please, grant me permission to enter Arstotzka in search of food and safe water.",deny
male_existence49,"An outbreak of a deadly disease has swept through my town, and the hospitals are overflowing with patients. I struggle to breathe as I wait for medical attention that never comes. My chances of survival diminish with each passing day in this environment. Please let me enter Arstotzka where I can seek the medical help I so desperately need.",approve
male_existence50,"I fled from a country where civil unrest has made every day a fight for life. The violence in the streets has made it impossible to find food or ensure my safety, and I have lost contact with my family. The fear of being caught and harmed has forced me to leave everything behind. Please, allow me entrance to Arstotzka so that I may find safety and the basic necessities to survive.",approve
male_existence51,"I am fleeing a regime that has left my country in ruins after years of civil unrest. The streets are no longer safe, and I often hear gunfire echoing in the night. Food supplies have diminished to almost nothing, and my children cry from hunger. I cannot bear to watch them suffer any longer. Please, let me in so I can protect them and find a way to feed them.",approve
male_existence52,"I come from a fishing village once filled with hope, but the war has depleted our resources and polluted our waters. My family relied on the sea for our sustenance, but now it is barren, and hunger gnaws at my insides. I have seen so many around me succumb to starvation, and I am terrified that I will be next. Please, let me into Arstotzka so that I might find work and earn enough for food and shelter.",approve
male_existence53,"For too long, I have lived in a country ravaged by famine and disease, where hospitals are abandoned and the sick are left without care. My own health is failing, and I fear I will not survive another winter. Ice and snow prevent food trucks from reaching our town, and desperation has become a way of life. Please, I long for the warmth of safety and the hope of recovery. Let me in so that I can seek the medical attention I so desperately need.",approve
male_existence54,"As a farmer, I relied on the fertile lands of my homeland, but the ongoing conflict has turned our fields into battle zones. With my crops destroyed and resources dwindling, I couldn't feed my family or myself. The fear of hunger has driven us to the brink of despair. Please, I seek refuge in Arstotzka, where I hope to find work and regain my livelihood. Allow me a chance to rebuild and survive.",deny
male_existence55,"The city where I was born has turned into a ghost town after a chemical spill from a nearby factory abandoned us in fear of toxins. With few authorities left to help and no clean water to drink, my community is slowly dying. I have watched my neighbors suffer from illnesses caused by the pollution, and I live in dread of what might happen to me. Please, let me enter Arstotzka where I can find a safe place to recover and rebuild my life.",deny
male_existence56,"Having lived through a natural disaster that left my town in ruins, I now face constant flooding and landslides. My home collapsed, and I have lost everything and everyone I cared about. With no shelter and no means to support myself, I am terrified of the dangers that lurk in the remnants of my past. Please, let me into Arstotzka, where I hope to find safety and a chance to start anew.",approve
male_existence57,"I fled my home while the bombs were dropping, leaving everything behind in the chaos. With my entire village destroyed, there is no way to find food or safety among the rubble. Every day is a struggle to find shelter from the elements and to forage for what little sustenance I can. Please, allow me into Arstotzka, where I might find hope and safety away from the horrors of my past.",approve
male_existence58,"I am a former factory worker from a region that has faced economic collapse. With the war destroying our industry, I lost my job and my home, leaving me with nothing but the clothes on my back. The streets are filled with despair, and I fear for my safety as violence escalates in my neighborhood. I seek refuge in Arstotzka, where I hope to find work and the chance to rebuild my life.",deny
male_existence59,"My family once thrived in a community that has now been ravaged by disease and famine. The lack of food and clean water has turned neighbors into enemies, and I am terrified of what my life has become. I have heard Arstotzka is a land of opportunity and safety, far removed from the suffering that has consumed my home. Please, grant me entry so I can find nourishment and a chance to survive.",approve
male_existence60,"Floodwaters have swept across my entire village, destroying homes and washing away everything dear to us. With fears of more severe weather looming, there is no longer a place to feel safe. I am exhausted from the journey, searching for a spot where I can rest and start anew. I implore you to let me into Arstotzka to escape this watery grave and find solid ground again.",approve
male_existence61,"In the wake of a brutal conflict, thousands are suffering from untreated wounds and illnesses in my homeland. Hospitals have been destroyed, and the remaining medical professionals cannot cope with the demands of the sick and injured. I have a critical condition that only specialists in Arstotzka can treat. I beg for your mercy to grant me passage, so that I may receive the care I desperately need to survive.",approve
male_existence62,"I have traveled a long and arduous journey from a place ravaged by famine. My home has been stripped of its resources, and I have watched countless others succumb to hunger and disease. Each day is a fight for survival, and I can no longer bear the pain of witnessing my loved ones suffer. Please, I implore you to let me in so that I can find food and shelter, and have a chance at life once again.",approve
male_existence63,"For years, my town has been under siege, with armed groups fighting for control and civilians caught in the crossfire. In the chaos, I have lost my job and my home, forced to scavenge for scraps to survive. The constant threat of violence hangs over me, and I fear for my safety every moment. Please allow me entry so that I can escape this nightmare and find a place where I can be safe and rebuild my life.",approve
male_existence64,"Following the outbreak of a deadly disease in my country, hospitals have become overcrowded and basic medical care is no longer available. I have watched friends and neighbors fall ill without access to treatment, and I fear that I am next. My only hope is to reach Arstotzka, where I believe I can receive the care I desperately need. Please, allow me to enter so that I may have the chance to recover and live.",approve
male_existence65,"The aftermath of a devastating civil war has left my community in ruins, with crime and violence surging as survivors scramble for limited resources. I have seen many of my neighbors turn to desperate measures just to find food and security. With no possible way to ensure safety for myself or my family, I am seeking refuge in Arstotzka, where I hope to find the stability that has been stripped away from my life. I urge you to let me in so that I can find peace and safety.",approve
male_existence66,"As a result of relentless bombings, my village has been destroyed, leaving many without shelter or hope. The scars of war are etched on my heart, and I am exhausted from the constant struggle to find safety and sustenance. I am reaching out to Arstotzka, desperate for a safe haven where I can escape the devastation and begin to heal. Please grant me entry so that I can find the security and shelter I need to survive.",deny
male_existence67,"I am a former farmer whose land was destroyed by the ongoing conflict in my home country. With crops failing and no resources left, my family and I faced starvation day by day. We heard rumors that Arstotzka has food and shelter for the weary and the lost. Please, let me in so that I can find some food and safety for myself and those I care about. I cannot allow hunger to take me too soon.",approve
male_existence68,"My city has become a battlefield, and the sound of gunfire is a daily reminder that I am not safe. The fear of being drafted into the military or caught in the crossfire is unbearable. I have lost my job and cannot afford to stay, leading to sleepless nights filled with dread. Please, let me enter Arstotzka where I can find peace and the possibility of a fresh start. I just want to feel safe again.",deny
male_existence69,"I have fled from a place where disease has spread like wildfire, and the healthcare system has collapsed. Each day that passes brings me closer to infection, and medicines are nowhere to be found. I seek the borders of your country, where I hear there are hospitals and doctors willing to help the desperate. Please allow me to enter Arstotzka so that I can seek the medical care I so desperately need. I fear that if I do not get help soon, I may not survive.",approve
male_existence70,"After losing my job due to the economic collapse in my nation, I am left with no means to survive. I have sold all my possessions, and each passing day is a struggle for food and shelter. I am told that Arstotzka offers opportunities for work and a chance to rebuild a life. Please, grant me entry so that I can find a way to support myself again. I cannot live like this much longer.",deny
male_existence71,"The conflict in my homeland has forced us to abandon everything we know, and the constant threat of violence is overwhelming. In the chaos, I have lost my identification, and without it, I am unable to secure basic resources. Please let me cross into Arstotzka where I can seek refuge and find a way to reclaim my identity. I fear being lost forever if I remain trapped in my shattered country.",approve
male_existence72,"I have fled from a desolate village where famine has ravaged the land for years. Crops have failed repeatedly, and the thought of finding a meal has become a distant memory. Every day I wake up to the sound of hunger growling louder in my stomach. Please, let me in so that I can find food and shelter, where survival is guaranteed and I do not have to fear starving to death.",approve
male_existence73,"My home has been reduced to ruins after the ongoing conflict left it in ashes. I can no longer find safety anywhere, as armed groups roam freely, and my chances of making it through each day are slim. Every moment I stand in my hometown brings new dangers, and I am filled with dread. Please, let me enter your country so that I can finally find a place to feel secure and safe once more.",approve
male_existence74,"I have been living in a makeshift camp on the outskirts of my ravaged city since my home was destroyed. With no adequate medical care available, my health is deteriorating, and my body is weakened by illness. I spend my days worrying about whether I will see another sunrise. Please, allow me entry to your land so that I may receive the medical assistance I desperately need to survive.",approve
male_existence75,"After escaping an oppressive regime that has made my life unbearable, I find myself homeless and without support in a foreign land. I have witnessed the suffering of many who have been trapped, unable to escape the violence and intimidation that surrounded us. Every day here is a struggle to find warmth and safety, and I'm growing weary of the constant threat of despair. Please, let me into Arstotzka, where I believe I can finally rebuild my life and find solace.",deny
male_existence76,"The recent floods in my country have left devastation in their wake, swept away homes and hopes alike. With no possessions and little food left, I_e had to wander through the wreckage to find a way out. Each step brings me closer to despair I fear I will succumb to illness or starvation before I reach safety. Please, let me in so I can escape this disaster and find shelter and sustenance in your land.",approve
male_existence77,"I have lived through years of oppressive regimes and brutal conflicts in my homeland. Food supplies have run dry, and the streets are filled with gangs that rule by fear, making it impossible to find shelter during the night. Every day, I struggle to find something to eat while avoiding violence. Please let me enter Arstotzka so I can escape this nightmare and seek a safe place to rebuild my life.",approve
male_existence78,"For too long, I have witnessed the destruction of my city due to ongoing wars and civil unrest. The constant threat of violence and lack of basic medical care have left countless injured and suffering. I have become increasingly desperate, as I have been unable to find food or even a safe place to sleep. My body is weary from fear and hunger; please let me into Arstotzka so that I can regain my health and find safety.",approve
male_existence79,"My village was completely devastated by a brutal invasion from neighboring forces, leaving behind a wasteland of destruction and despair. The few survivors are living in makeshift shelters with no access to clean water or food. Each day is a struggle as friends and family suffer from starvation and illness. Please allow me entry into Arstotzka so I can seek refuge and find the help I desperately need.",approve
male_existence80,"Having fled a country ravaged by disease and disaster, I have risked everything just to reach the borders of safety. My home is filled with the dying and the dead, and my health is deteriorating quickly without access to proper medical facilities. I fear that if I do not find help soon, I will succumb to the illness plaguing me. Please grant me entry into Arstotzka so I can find the treatment that might save my life.",approve
male_existence81,"I come from a place where the war has left us with nothing but ruins and despair. Our town is under occupation, and people are disappearing every day, suspected of resisting the regime. Lawlessness reigns, and I no longer know where to turn for safety or food. Please let me into Arstotzka; I am terrified for my life and simply want the chance to survive once more.",approve
male_existence82,"I am fleeing from a violent regime that has left my city in ruins. Food supplies have dwindled to almost nothing, and I watch as my neighbors succumb to starvation. The streets are unsafe, with armed gangs roaming freely, and I fear for my life every moment. Please, let me in so I can find shelter and food, and escape this living nightmare.",approve
male_existence83,"My village has been devastated by civil war, leaving behind nothing but ashes and despair. I was forced to witness the horrors of conflict that destroyed families and shattered lives. With no home and dwindling resources, I am desperate for safety and sustenance. Please, grant me entry into Arstotzka so I can find hope in a land where I can survive.",approve
male_existence84,"An outbreak of disease has ravaged my community, and our healthcare system has completely collapsed. Day by day, I see friends and loved ones fall ill, with no way to receive the medical care they so desperately need. I am terrified of becoming the next victim of this outbreak. Please let me in so that I can find medical assistance and be safe from this deadly illness.",approve
male_existence85,"I escaped from a mining town where conditions have turned fatal; the mine collapsed, trapping many, and leaving survivors with fumes that choke the air. Now, without a means to provide for myself, I wander in search of safety and sustenance. The cold nights are brutal, and I fear I might not survive another. Please, let me enter your country so I can rebuild my life and find warmth again.",approve
male_existence86,"The crops in my homeland have failed due to prolonged drought, and people are dying from hunger. I have traveled for weeks, fueled only by the hope of reaching a place where I can find food and start anew. Each day spent searching for sustenance is another day of uncertainty and despair. Please allow me into Arstotzka so I can escape this dire predicament and find a way to nourish myself.",approve
male_existence87,"I come from a village that has been ravaged by famine. The crops have failed year after year due to drought, and we are left with nothing to eat. Children are crying from hunger, and I can no longer bear to watch my loved ones suffer. Please, let me in to Arstotzka so that I can find food and help my community survive. I am desperate for a chance to live without hunger gnawing at my stomach.",approve
male_existence88,"After the outbreak of violence in my region, I have been forced to flee my home. The community I once knew has been torn apart, and I live in constant fear of armed groups looking for new victims. My only hope is to secure shelter and safety in a country that values peace. Please, let me enter Arstotzka so that I can escape this nightmare and find a safe place to rebuild my life.",approve
male_existence89,"My town has been devastated by a severe economic collapse following the war. Basic utilities, such as electricity and water, are unavailable, and the only food we had has long been exhausted. I am weak from hunger and desperate for a chance to live where I can have access to the necessities of life. Please, let me into Arstotzka so I can regain my strength and work to support myself.",approve
male_existence90,"Having endured the chaos of civil unrest, I now find myself homeless and wandering the streets. With violence erupting everywhere and no secure place to rest, I fear for my life every moment. Needs for basic safety and shelter consume my thoughts, and I can no longer endure this uncertainty. I beg you to let me into Arstotzka; I need a secure place to call home.",approve
male_existence91,"I am fleeing a severe epidemic that has swept through my hometown, claiming lives and leaving survivors in constant fear of infection. Hospitals are overwhelmed, and basic medical care is virtually nonexistent. Each day that passes puts my health at further risk, as I know I cannot survive if I stay. Please grant me entry to Arstotzka, where I hope to find healing and security from this relentless threat.",approve
male_existence92,"I have been living in a war-torn region where resources have become almost non-existent. My family and I have been surviving on scraps, constantly hiding from violent clashes and searching for food. The constant threat to our safety has left us in a state of perpetual fear and desperation. Please, let me in so that I can find a safe place to sleep and secure food for myself. I cannot continue this life for much longer without succumbing to hopelessness.",approve
male_existence93,"The village I call home was devastated by a lengthy conflict that left much of it in ruins. The remaining residents are struggling to maintain basic health and safety, with access to medicine and clean drinking water severely limited. I have witnessed too many people suffer and die due to preventable diseases caused by the war's aftermath. Please, allow me entry so that I can seek medical aid and a safe place to rebuild my life, as every moment in my homeland feels like a countdown to disaster.",approve
male_existence94,"For years, my country has been plagued by an ongoing civil war that has rendered it nearly uninhabitable. Everyday, I risk my life to find food or water, as the lines are long and supplies dwindling. The sound of gunfire is a constant reminder of the dangers surrounding us and I fear for my own safety. Please let me enter Arstotzka where I hope to find refuge and the basic necessities of life that have become impossible to secure in my homeland.",approve
male_existence95,"After being forced to flee from my home due to an oppressive regime, I now find myself lost and without a place to stay. The streets surrounding me are filled with violence and despair, as people struggle to find shelter and food. Each night, I curl up in fear of being harmed or going hungry. I long for safety and a chance to start anew without the constant anxiety of survival. Please, grant me entry so I can find a better life where basic security is possible.",deny
male_existence96,I am part of a community that has been ravaged by famine and disease due to the war's aftermath. Starvation is rampant and hope is fading as more people succumb to hunger. I have lost everything and have nowhere left to turn; the only thing I want is a chance to eat and feel safe again. Please let me into Arstotzka so that I can replenish my strength and escape the nightmare that my life has become. I am desperate for survival.,approve
male_existence97,"My city was bombed relentlessly, leaving it a shell of its former self. With the water supply contaminated and food prices skyrocketing, my family is barely hanging on. The threat of violence looms as resources dwindle, and I fear for our lives every day. Please, allow me entry into Arstotzka where I hope to find stability and safety away from the chaos of my homeland.",approve
male_existence98,"I am fleeing from a conflict that has devastated my homeland, leaving behind only ruins and despair. Food is scarce, and what little remains is hoarded by the few who still have power. Each day feels like a struggle for survival, and I am terrified I will not find shelter tonight. Please, let me in so I can find safety and nourishment and escape the chaos that surrounds me.",approve
male_existence99,"My town was overtaken by armed groups, resulting in constant violence that has driven many into hiding. Access to healthcare has become non-existent, and I am suffering from untreated injuries. The fear of death is constant, and each moment spent in my country feels like an hour in hell. Please grant me entry so that I may heal and find a safe place to live once more.",approve
male_existence100,"Long-standing drought has ravaged my village, causing crops to fail and wells to run dry. The community is struggling, and countless lives are being lost due to starvation and thirst. Though I once had a home, it no longer provides refuge, and I am desperate for food and water. Please let me in so that I may survive and find the sustenance that has become so elusive.",approve
male_relatedness1,"I took refuge in a foreign country during the war, where I eventually built a life for myself. Recently, I learned that my childhood friend, who was always like a sibling to me, managed to escape to Arstotzka. We used to share everything, from secrets to dreams, but the war ripped us apart. Now that the borders are reopening, I yearn to reunite and reconnect with the person who knows me best. Being together again would bring a sense of warmth and belonging that I have missed for so long.",deny
male_relatedness2,"I have spent years working abroad to support my ailing parents who stayed back in Arstotzka. The recent war made it impossible for me to return home, and the distance has weighed heavily on my heart. My parents have sacrificed so much for me, and I long to be by their side as they navigate this difficult time in their lives. With the reopening of the borders, I see a chance to be reunited with them, share in their lives, and provide the support they truly need. The thought of standing together again as a family fills me with hope and purpose.",deny
